"uuid","title","date_published_at","date_updated_at","section","authors","link","location","content"
"e2b1abf8-efbc-403f-8458-e2999b6e4f40","Her er ti familieaktiviteter til påskeferien på Fyn",2022-04-11 13:13:10,2022-04-11 13:13:10,"Kultur","Frederikke Lysbjerg Sørensen","https://www.tv2fyn.dk/artikel/paaskeaktiviteter-paa-fyn","Fyn","Skyd påskeferien i gang med hyggelige og kreative påskesysler.Kom med på påske-skattejagt i det fri, pust æg og pynt dem, og kom helt tæt på dyrene i zoo. TV 2 Fyn har samlet en række familievenlige påskeaktiviteter rundt omkring på Fyn."
"7cb7d53d-4cb2-4e62-a581-59afd8a2c160","Her og nu: Hjælp tre unge mennesker over Fyn",2022-04-11 10:03:00,2022-04-11 13:02:00,"Samfund","Af redaktionen","https://www.tv2fyn.dk/coronavirus-paa-fyn/her-og-nu-hjaelp-tre-unge-mennesker-over-fyn","Fyn",""
"ad969ecf-ae75-4db8-b63a-daae6efd945a","Sundhedsstyrelsen indkøber jodtabletter i tilfælde af ""væsentligt radioaktivt udslip""",2022-04-11 12:39:53,2022-04-11 12:39:53,"Sundhed","Ritzau","https://www.tv2fyn.dk/fyn/sundhedsstyrelsen-indkoeber-jodtabletter-i-tilfaelde-af-vaesentligt-radioaktivt-udslip","Fyn","Sundhedsstyrelsen vil øge Danmarks beredskab og indkøbe to millioner jodtabletter til brug, hvis et ""væsentligt radioaktivt udslip"" rammer Danmark. Det oplyser styrelsen i en pressemeddelelse. Det sker på baggrund af ""beredskabsstyrelsens prognoser og konsekvensberegninger for risikoen for en nuklear hændelse i Danmarks nærområde"".Jodberedskabet øges desuden med baggrund i WHO's anbefalinger om brug af jodtabletter til risikogrupper.Sundhedsstyrelsen vurderer, at et dansk lager på to millioner jodtabletter kan dække risikogruppen ved tilfælde af et nukleart uheld i Danmarks nærområde.Risikogruppen består af børn og unge op til og med 18 år, udgående sundheds- og beredskabspersonale op til og med 40 år samt gravide og ammende.- Det overordnede råd i forbindelse med et alvorligt udslip, der bevæger sig ind over dansk område, er fortsat at gå indenfor.- Dette vil helt overordnet bidrage til at beskytte mod direkte stråling og mod indånding af radioaktive stoffer som cæsium, strontium og jod, skriver Sundhedsstyrelsen videre.Det danske jodberedskab er blevet revurderet som følge af krigen i Ukraine, der ""har vist os, at verden er uforudsigelig"".Tilbage i marts oplyste Sundhedsstyrelsen til Ritzau, at det ikke er ""relevant at anvende jodtabletter i Danmark i forbindelse med eventuelt uheld med nukleare anlæg i Ukraine"".- Internationalt anbefales uddeling af jod i en radius af 100 kilometer fra et ulykkesramt værk, lød det dengang.De første kontrakter er indgået om levering af den første del af jodtabletterne, oplyser styrelsen. De vil blive leveret inden for to til tre måneder."
"3077bb9a-3b69-4264-8c0e-f6910693dd28","Storebæltsbroen går i gult til Tour de France - først skal 385 lamper udskiftes",2022-04-11 10:02:11,2022-04-11 10:02:11,"Trafik","Sune Jørgensen","https://www.tv2fyn.dk/artikel/storebaeltsbroen-gaar-i-gult-til-tour-de-france-foerst-skal-385-lamper-udskiftes","Fyn","Forberedelserne til, at tourfeltet rammer Danmark i juli er i fuld gang mange steder. Det gælder også på Danmarks største bro.Her er man i øjeblikket i gang med at udskifte hele 385 LED-lamper på de to pyloner og ankerblokke.- De nuværende lamper er 20 år gamle og trænger til en udskiftning. Det er almindelige lamper, der er på broen nu, og de skal udskiftes til LED, som også er mere energisparende, siger Lene Gebauer Thomsen, kommunikationschef hos Sund &amp; bælt.Ud over at kræve mindre energi kan de nye lamper noget helt særligt, som det altså ikke har været muligt før.- Vi har tilkøbt muligheden for at få farve på, så vi har tilkøbt standardfarverne, så vi for eksempel kan lyse broen op i rødt og hvidt næste år, når broen fylder 25 år, siger Lene Gebauer Thomsen.Gul er lig med Tour de France Det er dog ikke tilfældigt, at det netop er nu, de 385 LED-lamper skal udskiftes.Et af verdens største sportsevents kommer til Danmark, når Tour de France blandt andet skal køres over Storebæltsbroen den 2. juli. Derfor mente Sund &amp; Bælt også, at det var på sin plads at få lamperne klar inden det store cykelløb.- Når der nu var mulighed for at sætte lamperne op inden Tour de France, så har vi selvfølgelig skævet til det i planlægningen. Lamperne kommer til at være klar inden løbet og vil lyse broen op i gult i aftnerne og nætterne op til løbet, siger Lene Gebauer Thomsen.Arbejdet med at udskifte lamperne er allerede i fuld gang. Det foregår på udvalgte dage og fortrinsvis om natten, så man undgår at forstyrre trafikken alt for meget.- Vi dobbeltretter trafikken om natten, så vi kan udrette noget mere, og vi ikke behøver forstyrre trafikken i dagligdagen. Det har vi gjort en enkelt gang og kommer til at gøre det et par gange mere, siger Lene Gebauer Thomsen.De farvede lamper til blive sat op på de to pyloner, men ikke på ankerblokkene. Teknologien er svarende til det, man også har på Øresundsbroen."
"45924953-2537-45ea-bc5e-dac7e3c479e2","Tag på påske-skattejagt i det sydfynske",2022-04-11 08:51:49,2022-04-11 08:51:49,"Kultur","Frederikke Lysbjerg Sørensen","https://www.tv2fyn.dk/svendborg/tag-paa-paaske-skattejagt-i-det-sydfynske","Svendborg","Fuglene synger, sommerfuglene er vågnet og skovbunden blomstrer.&nbsp;Påskeferien er i gang, og det betyder, at der er tid til sjove aktiviteter for hele familien.&nbsp;I naturområdet Ørkild voldsted i Svendborg er en skattejagt på otte poster, der kan besøges i påskedagene ganske gratis, sat i gang.&nbsp; Skattejagten i det fri er arrangeret af Naturama, og konceptet opstod under coronanedlukningen.-&nbsp;Der tænkte vi, at vi stadig skal inspirere til at bevare naturen, til at elske naturen og til at få folk ud i naturen, siger&nbsp;Poul Stentebjerg, der er naturformidler hos Naturama.Skattejagt i Svendborgs naturSkattejagtens poster består blandt andet af spørgsmål om insekter, pattedyr og naturen.For Poul Stentebjerg, er formålet med skattejagten klar.- For det første for at få en dejlig naturoplevelse, høre spætten og fugle, der synger. Og for at få svar på nogle af de her spørgsmål, og for at blive klogere på naturen og dyrene, siger han.Og der er næsten garanti for naturoplevelser for store og små.- Der er en masse sjove dyr hernede. Der er både sådan noget som stor flagspætte, som man ser næsten hver gang. Der er troldænder, almindelige ænder og en masse småfugle og insekter hernede, siger&nbsp;Poul Stentebjerg. Skattejagten kan opleves i eget tempo og turen er cirka en kilometer lang.&nbsp;For at deltage i skattejagten, kan man enten tage forbi Naturama for at få et gratis skattekort eller hente skattekortet fra Naturamas hjemmeside.Det er muligt at deltage i skattejagten frem til den 18. april, og der er ti præmier på højkant fra Naturamas egen butik."
"96f37867-5ffb-46b1-830e-5074b0f84e64","Kommuner kan mangle medarbejdere - også på Fyn",2022-04-11 05:41:19,2022-04-11 05:41:19,"Samfund","Joachim Næshave","https://www.tv2fyn.dk/fyn/kommuner-kan-mangle-medarbejdere-ogsaa-paa-fyn","Fyn","I Assens Kommune er der siden 2015 nedlagt cirka 14 fuldtidsstillinger. For at håndtere de ukrainske flygtninge har kommunen omplaceret to medarbejdere til integrationsområdet, men vil formentlig få brug for flere udefra.Og det kan blive et problem, forudser brian Korsgaard, der er afdelingsleder for integration, job og udvikling i kommunen.&nbsp;- Vi er 98 kommuner, der har brug for det samme på samme tid. Det vil altid støvsuge markedet, så vi kan risikere, at det bliver sværere at finde de rigtige kompetencer. Det er ikke en udfordring endnu, men det er en bekymring«, siger han til Politiken.214 nedlagte stillingerKommunerne modtager i disse uger tusindvis af ukrainske flygtninge, som skal have hjælp til at finde et sted at bo, lære det danske sprog og finde et job. Men antallet af medarbejdere, der står for netop den opgave, er raslet ned.&nbsp;Ifølge en rundspørge som Politiken har gennemført blandt alle landets kommuner svarer 50 af ud af 66, at de har skåret i antallet af medarbejdere, der arbejder med integration, siden flygtningestrømmen fra Syrien aftog. På landsplan er det 214 stillinger.&nbsp; Assens Kommune har indtil videre fået anvist 14 ukrainere, men holder myndighedernes forventning om 100.000 flygtninge stik, står kommunen til at skulle modtage lidt over 700.&nbsp;- Det her er en opgave af voldsom karakter, siger Brian Korsgaard til avisen, og tilføjer:- Vi er på opgaven, og vi er nok ikke helt med endnu.I Odense kommune fortæller rådmand i Beskæftigelses- og socialforvaltningen, Christoffer Lilleholt (V), at det er helt naturligt, at man som kommune omfordeler kræfterne, når der ikke er behov for dem i bestemte afdelinger.- Vi kan godt komme til at mangle ansatte, men vi vil også gerne have folk med de rette kompetencer. Eksempelvis nogen der kan ukrainsk, så vi ikke behøver at bruge tolke hver gang, der er behov for det.&nbsp;Han tilføjer, at manglen endnu ikke er aktuel.&nbsp;Nye medarbejdere hænger ikke på træerneAt kommunerne har nedskaleret integrationsindsatsen, er velkendt for Frederik Thuesen, der er seniorforsker i Det Nationale Forskningscenter for Velfærd, Vive.&nbsp;- Det er der ikke nogen tvivl om. Der er et videnstab, siger han til Politiken. Men han peger samtidig på, at mange kommuner ikke har haft behovet for den type medarbejdere siden flygtningekrisen i 2015.&nbsp;&nbsp;- Den offentlige sektor har jo ikke råd til at have folk gående uden noget at lave. Peter Rahbæk Juel (S), der, udover at være borgmester i Odense, er formand for arbejdsmarkeds- og borgerserviceudvalget i Kommunernes Landsforening, fastholder dog, at kommunerne har været gode til at videreføre den opbyggede viden. Men det kan være svært at finde nye medarbejdere, erkender han.- En af de største udfordringer, vi står med, er at rekruttere medarbejdere til velfærdsområderne, og det gælder også integrationsmedarbejdere«, siger han i en skriftlig kommentar til Politiken.&nbsp;"
"d173267f-e36f-4890-a499-ebfe1082f925","Økokøer kom begejstrede på græs",2022-04-11 04:19:55,2022-04-11 04:19:55,"Natur","Peter Bergman","https://www.tv2fyn.dk/faaborg-midtfyn/oekokoeer-kom-begejstrede-paa-graes","Faaborg-Midtfyn","En tradition vendte palmesøndag tilbage i fin form. Nemlig den hvor medlemmerne af Økologisk Landsforening lukker deres køer ud på græs. Ud på græs er køerne også blevet sluppet de seneste par år, men coronapandemien har forhindret, at det var med publikum på. Således var det ikke kun køerne der i år var begejstrede over, at komme på græs. Publikum var også trukket ud under åben himmel og faktisk havde 10.500 publikummer sikret sig billetter til de tre fynske gårde, der traditionen tro lukkede deres økologiske køer på græs.TV 2 Fyn var tilstede, da køerne blev sluppet løs på Toftegaard ved Eskildstrup nordøst for Ringe.&nbsp;Og som man kan se på hosstående optagelser, var køerne ventet med længsel af publikum, mens køerne var endnu mere glade for det grønne græs og den blå himmel."
"459d5b19-bab6-4c9e-bdf9-48ff0138e9bd","Mandag bliver en lunere dag",2022-04-11 03:24:06,2022-04-11 03:24:06,"Vejr","Joachim Næshave","https://www.tv2fyn.dk/fyn/mandag-bliver-en-lunere-dag","Fyn","Mandag byder på et noget mere forårsagtigt udtryk, når det kommer til vejret. Efter weekendens delvise rusk og regn over det meste af Fyn, lægger vinder sig i dag og regnen tager en velfortjent pause.&nbsp; Det betyder ifølge TV2 Vejret, at det vil være en noget varmere oplevelse af begive sig udenfor i dag selvom termometeret befinder sig i samme niveau som i går - med op til 10 graders varme- Ingen byger, det holder tørt og der vil være perioder med sol, siger TV2 Vejrets Ellen Nybo.Kig efter en haloGennem det meste af dagen vil der være skyer på himlen i den ene eller anden form.- Der vil være perioder med sol, i perioder vil der også være en del skyer på himlen, siger Ellen Nybo.&nbsp;Og så er det måske værd at kigge op på himlen, hvis du har et let skydække over dig, siger hun.- Der vil være slørskyer, som altså gør at himlen bliver tegnet mælkehvid -&nbsp; og der kan man måske være heldig at spotte en halo, der er den her ring rundt om solen.&nbsp;"
"90b6672b-e02f-4b85-9ef0-dd15ed6f2e89","Rock Nalle får museum: - Der er en ting eller to, jeg kunne have undværet",2022-04-10 17:23:09,2022-04-10 17:23:09,"Kultur","Peter Bergman","https://www.tv2fyn.dk/tv2-oest/rock-nalle-faar-museum-der-er-en-ting-eller-to-jeg-kunne-have-undvaeret","Odense","Et museum dedikeret til et ganske særligt stykke dansk musikhistorie åbnede søndag i Hørve, nemlig et museum om den fynske rock'n'roll-musiker Rock Nalle.Manden, der i 1977 blev landskendt med sangen om ""Go'e gamle fru Olsen"" - i øvrigt en dansk version af Little Richards ""Good Golly Miss Molly"" fra 1958 - men hvis historie er meget mere end et enkelt hit.&nbsp;Det fortæller initiativtageren til museet Stefan broberg Hansen, der er mangeårig Rock Nalle-fan og samler:- Jeg synes, han fortjener det. Nu har han trods alt været med fra starten af. Det er jo vores Little Richard herhjemme i Danmark, siger han med en henvisning til, at Rock Nalle var med til at bringe rock'n'roll-musikken til Danmark i 1950’erne. Museet er indrettet i Stefan Broberg Hansens private hjem i en gammel slagterejendom på Søndergade i Hørve på Odsherred. Selve udstillingen er indrettet i den gamle slagterforretning. Det i sig selv har også en finurlig kobling til den i dag 79-årige musiker og sanger, der i sin tid stod i lære som slagtersvend.Det var inden de store hits i 1970’erne, hvor Rock Nalle, som lyder det borgerlige navn Roland Lyhr Sørensen, for alvor blev landskendt. Rock Nalles 62 flyttekasserMuseets tilbliven er hjulpet godt på vej af Rock Nalle selv, idet han har doneret intet mindre end 62 flyttekasser med effekter, som Stefan Broberg Hansen drog til Odense for at hente. Her i blandt guld- og sølvplader, original-indspilninger og diverse prisstatuetter samt indspilninger, der aldrig er blevet udgivet.Samlingen tæller - selvfølgelig - også et par af Rock Nalles guitarer, som er blevet sat i stand:- Jeg har fået den lappet sammen og poleret op med nye strenge på. Men strengene (de originale strenge, red.), der er gemt, de ligger i kassen der, fortæller Stefan Broberg Hansen.Sang i bytte for skoRock Nalle har været forbi og se museet inden åbningsdagen.- Det er lidt underligt - men på den anden side er jeg glad ved, det bliver gjort, så folk kan følge med i sådan en historie. Altså Rock'n'Roll. For ellers er det jo andre ting, der kommer på museum, siger han til TV2 Øst. Montren med priserne og statuetterne gemmer også på et par af musikerens gamle sko – eller rettere sagt, Kim Larsens sko, fortæller Rock Nalle. For under en optræden i Holstebro i 1970’erne kom Gasolin' forbi, og Kim Larsen henvendte sig:- Han (Kim Larsen, red.) kom derned, og jeg havde de hvide sko på, og så siger han: De er smarte de sko. Giv mig dem, genfortæller Rock Nalle og tilføjer:- Jeg sagde først nej. Så skulle jeg jo køre hjem i strømpesokker. Men det endte med, at han fik dem – for vi lavede en handel: En melodi per sko.Kim Larsen fik skoene, og et halvt år efter kom der et kassettebånd retur med to sange på.- Det blev til en guld- og en sølvplade for ""Amanda"", siger Rock Nalle og tilføjer med et skævt lille smil:- Det var en god bytter. Jeg har også tit ærgret mig over, jeg ikke havde 12 par, så jeg kunne have fået til en hel LP.Når han står der omgivet af minderne, er det svært ikke at være stolt, fortæller han:- Jeg er stolt at det hele - der er selvfølgelig en ting eller to, jeg godt kunne have undværet – men ellers er jeg stolt af det hele."
"c1e7c9ef-be01-409a-aa0c-42d4379800bf","Klager over kommune til ombudsmanden: - Jeg har hverken kræfter eller overskud til at være der for mit syge barn",2022-04-10 16:26:36,2022-04-10 16:26:36,"Samfund","Peter Bergman","https://www.tv2fyn.dk/nordfyn/klager-over-kommune-til-ombudsmanden-jeg-har-hverken-kraefter-eller-overskud-til-at-vaere-der-for-mit-syge-barn","Nordfyn","Marianne Jensens 14-årige datter Julie har diagnosen social angst og er stort set ikke i skole.Skolevægring, kaldes det. Og netop på det område har politikerne i børne- og ungeudvalget i Nordfyns Kommune valgt at finde ti millioner kroner i besparelser.Besparelserne skal komme i hus ved, at kommunen selv løser flere forebyggende opgaver, og ved at skolerne primært selv skal stå for udgifterne til de indsatser, der handler om børns skolevægring. Det kan betyde, at der vil blive sparet på tabt arbejdsfortjeneste, og det vil i så fald ramme Marianne Jensen og dermed hendes datters trivsel.- Hvis jeg mister min tabte arbejdsfortjeneste, jamen ... Det kan jeg slet ikke gennemskue.- Jeg har hverken kræfter eller overskud til at passe et arbejde samtidig med, at jeg skal være der 24/7 for mit syge barn, siger Marianne Jensen.Den frivillige forening Støttegruppe Nordfyn har klaget over Nordfyns Kommune til ombudsmanden. De mener, at sagsbehandlingen er for dårlig og har fået nok efter de nye besparelser for ti millioner kroner.- Vi har bedt ombudsmanden om at kigge kommunen efter. Vi vil have stærkere midler i brug, siger Britt Skousen Andersen, der er bestyrelsesmedlem i Støttegruppe Nordfyn.Passer datteren på fuld tidFamilien har flyttet Julie til en privatskole i Ringe. Skolen er specialiseret i børn som Julie, og der er kun 42 elever. I Julies klasse er der ni elever.- Men bare det, at de i nogle timer skal være blandet med de andre klasser, gør, at hun ikke kan deltage, og så må jeg holde hende hjemme, fortæller Marianne Jensen, som kører Julie fra hjemmet på Nordfyn til Ringe og bliver ved skolen, så Julie kan være tryg.I maj sidste år søgte Marianne om tabt arbejdsfortjeneste, for at stoppe på sit arbejde, så hun kunne passe sin datter på fuld tid.Nu hun nervøs for, hvad fremtiden bringer.- Jeg var så lang tid om at få tabt arbejdsfortjeneste, og det var simpelthen en sten, der faldt fra mit hjerte, da det endelig gik igennem, fordi jeg igen kunne begynde at trække vejret. Men tabt arbejdsfortjeneste står altså til at blive sparet væk i fremtiden. Og det vil ramme&nbsp;Marianne Jensen og Julie. Marianne Jensen er nemlig i den gruppe af forældre til børn med skolevægring. Altså børn, der sjældent eller aldrig kommer i skole.- Så hvis jeg mister min tabt arbejdsfortjeneste ... Det kan jeg slet ikke gennemskue. Fordi jeg har hverken kræfter eller overskud til, at være der for mit syge barn, siger Marianne Jensen.Marianne Jensen forklarer, at Julie ikke kan være sammen med folk hun ikke kender.- Hun kan ikke være sammen med den tætte familie, og det sværeste er faktisk jævnaldrende, altså unge på hendes egen alder, forklarer Marianne Jensen og tilføjer, at Julie kan få panikanfald, hvis der sker noget, eller hvis hun føler der er for mange mennesker omkring hende.- Det er jo klart, at det spiller meget ind i skole-delen, når man lider af social angst.Med klagen til ombudsmanden håber Støttegruppe Nordfyn, at man vil kigge kommunen efter i sømmene.&nbsp;"
