"","year","countries","n","lat","long","code"
"1",1972,"danmark",5,56,10,"DK"
"2",1972,"færøerne",1,62,-7,"FO"
"3",1972,"grønland",2,72,-40,"GL"
"4",1972,"tyskland",1,51,9,"DE"
"5",1972,"vietnam",1,16,106,"VN"
"6",1973,"danmark",7,56,10,"DK"
"7",1973,"færøerne",2,62,-7,"FO"
"8",1973,"finland",1,64,26,"FI"
"9",1973,"grønland",2,72,-40,"GL"
"10",1973,"island",1,65,-18,"IS"
"11",1973,"norge",1,62,10,"NO"
"12",1973,"sverige",1,62,15,"SE"
"13",1973,"vietnam",1,16,106,"VN"
"14",1974,"danmark",4,56,10,"DK"
"15",1974,"færøerne",1,62,-7,"FO"
"16",1974,"grønland",2,72,-40,"GL"
"17",1975,"danmark",4,56,10,"DK"
"18",1975,"færøerne",2,62,-7,"FO"
"19",1975,"grønland",4,72,-40,"GL"
"20",1976,"danmark",5,56,10,"DK"
"21",1976,"færøerne",1,62,-7,"FO"
"22",1976,"grønland",2,72,-40,"GL"
"23",1977,"danmark",5,56,10,"DK"
"24",1977,"færøerne",2,62,-7,"FO"
"25",1977,"grønland",1,72,-40,"GL"
"26",1978,"danmark",5,56,10,"DK"
"27",1978,"færøerne",4,62,-7,"FO"
"28",1978,"grønland",7,72,-40,"GL"
"29",1978,"tyskland",1,51,9,"DE"
"30",1979,"danmark",2,56,10,"DK"
"31",1979,"færøerne",1,62,-7,"FO"
"32",1979,"grønland",4,72,-40,"GL"
"33",1980,"danmark",5,56,10,"DK"
"34",1980,"færøerne",1,62,-7,"FO"
"35",1980,"grønland",1,72,-40,"GL"
"36",1981,"danmark",4,56,10,"DK"
"37",1981,"grønland",3,72,-40,"GL"
"38",1982,"danmark",4,56,10,"DK"
"39",1982,"færøerne",1,62,-7,"FO"
"40",1982,"grønland",2,72,-40,"GL"
"41",1983,"danmark",5,56,10,"DK"
"42",1983,"færøerne",2,62,-7,"FO"
"43",1983,"grønland",2,72,-40,"GL"
"44",1983,"oman",2,21,57,"OM"
"45",1984,"danmark",3,56,10,"DK"
