"years","sentences","sentences_full","polarity"
1972,"for min familie og for mig selv blev dette år skelsættende ved min fader kong frederiks sygdom og død","for min familie og for mig selv blev dette år skelsættende ved min fader kong frederiks sygdom og død",-1.80415754923414
1972," den dybe sorg der ramte os følte vi at hele folket tog del i og jeg kan ikke begynde denne min første nytårshilsen uden at bringe en tak for al den varme og sympati som blev prins henrik og mig men ikke mindst min moder dronning ingrid til del"," den dybe sorg, der ramte os, følte vi, at hele folket tog del i, og jeg kan ikke begynde denne min første nytårshilsen uden at bringe en tak for al den varme og sympati, som blev prins henrik og mig, men ikke mindst min moder, dronning ingrid, til del",1.0527950310559
1972," de hjertelige følelser som i de tunge dage støttede og løftede os har jeg siden i årets løb mødt så mange gange og det har været mig en glæde og inspiration i min gerning som danmarks dronning"," de hjertelige følelser, som i de tunge dage støttede og løftede os, har jeg siden i årets løb mødt så mange gange, og det har været mig en glæde og inspiration i min gerning som danmarks dronning",2.29411764705882
1972," 1972 vil blive et historisk år på mange måder"," 1972 vil blive et historisk år på mange måder",0
1972," i danmarkshistorien vil året blive husket for den betydningsfulde beslutning som det danske folk traf om danmarks medlemskab af det udvidede europæiske fællesskab"," i danmarkshistorien vil året blive husket for den betydningsfulde beslutning, som det danske folk traf om danmarks medlemskab af det udvidede europæiske fællesskab",0
1972," hermed træder vi ind i et nært samarbejde med de vigtigste vesteuropæiske nationer vi går ind til det med store forhåbninger men selvsagt også med en bevidsthed om at dette vil stille krav til dansk kultur og samfundsliv"," hermed træder vi ind i et nært samarbejde med de vigtigste vesteuropæiske nationer, vi går ind til det med store forhåbninger, men selvsagt også med en bevidsthed om, at dette vil stille krav til dansk kultur og samfundsliv",0.517241379310345
1972," jeg udtrykker et inderligt håb om og en tro på at det bedste i dansk ånd og kultur vil formå ikke blot at hævde sig men også bidrage positivt til nationernes samarbejde"," jeg udtrykker et inderligt håb om og en tro på, at det bedste i dansk ånd og kultur vil formå ikke blot at hævde sig, men også bidrage positivt til nationernes samarbejde",1.23616600790514
1972," dette gælder naturligvis også i en videre forstand de mange områder hvor danmark deltager eller står overfor at skulle deltage i internationalt samarbejde"," dette gælder naturligvis også i en videre forstand de mange områder, hvor danmark deltager eller står overfor at skulle deltage i internationalt samarbejde",-0.918918918918919
1972," jeg tænker i første række på fn på den forestående konference om sikkerhed og samarbejde i europa og på vort samarbejde med de andre nordiske lande til hvem vi er knyttet med så stærke bånd"," jeg tænker i første række på fn, på den forestående konference om sikkerhed og samarbejde i europa og på vort samarbejde med de andre nordiske lande, til hvem vi er knyttet med så stærke bånd",-0.308108108108108
1972," 1972 vil sikkert også komme til at stå som et betydningsfuldt år i verdenshistorien"," 1972 vil sikkert også komme til at stå som et betydningsfuldt år i verdenshistorien",0
1972," i europa har vi set væsentlige skridt imod en udsoning af modsætningsforholdet mellem de to tysklande der vil sætte sig spor i forholdet også til de andre europæiske lande"," i europa har vi set væsentlige skridt imod en udsoning af modsætningsforholdet mellem de to tysklande, der vil sætte sig spor i forholdet også til de andre europæiske lande",0
1972," medens det endnu kort før jul var en udbredt forventning at den blodige krig i vietnam endelig nærmede sig afslutningen har vi i den seneste tid været vidne til en ny tragisk vending ved en genopblusning af krigshandlingerne"," medens det endnu kort før jul var en udbredt forventning, at den blodige krig i vietnam endelig nærmede sig afslutningen, har vi i den seneste tid været vidne til en ny tragisk vending ved en genopblusning af krigshandlingerne",-0.777777777777778
1972," det seneste døgns efterretninger får os til at håbe at freden endelig må komme til dette ulykkelige land"," det seneste døgns efterretninger får os til at håbe, at freden endelig må komme til dette ulykkelige land",2
1972," jeg vil samtidig udtrykke håbet om at det ny kapitel i forhandlingens og samarbejdets ånd i forholdet mellem de store magter og i det internationale samfund som helhed der syntes indledt i 1972 vil vise sig at indfri forventningerne således at det virkelige verdensomspændende samarbejde for menneskehedens fremtid kan få bærekraft"," jeg vil samtidig udtrykke håbet om, at det ny kapitel i forhandlingens og samarbejdets ånd i forholdet mellem de store magter og i det internationale samfund som helhed, der syntes indledt i 1972, vil vise sig at indfri forventningerne, således at det virkelige verdensomspændende samarbejde for menneskehedens fremtid kan få bærekraft",1.5
1972," jeg tror at det er en udbredt følelse i vort land ligesom i mange af de lande vi er nært knyttet til at det moderne industrialiserede samfund går en lang række alvorlige problemer i møde problemer såvel af social og økonomisk som af menneskelig og ikke mindst miljømæssig karakter"," jeg tror, at det er en udbredt følelse i vort land, ligesom i mange af de lande, vi er nært knyttet til, at det moderne industrialiserede samfund går en lang række alvorlige problemer i møde, problemer såvel af social og økonomisk som af menneskelig og ikke mindst miljømæssig karakter",0.380664652567976
1972," hvis det fri og tolerante velfærdssamfund vi hidtil har kendt og som har værdi for os skal kunne fortsætte er det nødvendigt at disse problemer finder en løsning"," hvis det fri og tolerante velfærdssamfund vi hidtil har kendt, og som har værdi for os, skal kunne fortsætte, er det nødvendigt, at disse problemer finder en løsning",1.09509658246657
1972," jeg håber og jeg tror at vor livsholdning og vore institutioner må vise sig at slå til"," jeg håber, og jeg tror, at vor livsholdning og vore institutioner må vise sig at slå til",0
1972," vi ønsker alle en verden i fred ikke blot for os selv men også for kommende generationer"," vi ønsker alle en verden i fred, ikke blot for os selv, men også for kommende generationer",1.75
1972," men dette mål er ikke alene et spørgsmål om at undgå krig og vold"," men dette mål er ikke alene et spørgsmål om at undgå krig og vold",-1.88073394495413
1972," skal freden vindes er det tillige nødvendigt at vi ikke begrænser vor horisont til blot at omfatte os selv og vore egne behov men at vi også tænker på de fattigste dele af verden og på kommende slægters mulighed for at eksistere"," skal freden vindes, er det tillige nødvendigt, at vi ikke begrænser vor horisont til blot at omfatte os selv og vore egne behov, men at vi også tænker på de fattigste dele af verden og på kommende slægters mulighed for at eksistere",1.64
1972," det har været min mand og mig en meget stor glæde sammen med vore børn at aflægge en række besøg rundt omkring i landet og den hjertelige velkomst der overalt blev os til del vil vi bevare som et kært og festligt minde"," det har været min mand og mig en meget stor glæde sammen med vore børn at aflægge en række besøg rundt omkring i landet, og den hjertelige velkomst, der overalt blev os til del, vil vi bevare som et kært og festligt minde",1.14649681528662
1972," vi håber i de kommende år at kunne fortsætte disse besøg og udstrække dem til grønland og færøerne"," vi håber i de kommende år at kunne fortsætte disse besøg og udstrække dem til grønland og færøerne",1
1972," netop her ved årsskiftet vil jeg gerne sende en særlig hilsen til det grønlandske og det færøske folk der under indbyrdes forskellige men altid barske vilkår står midt i en stærk samfundsmæssig og erhvervsmæssig udbygning"," netop her ved årsskiftet vil jeg gerne sende en særlig hilsen til det grønlandske og det færøske folk, der under indbyrdes forskellige, men altid barske vilkår står midt i en stærk samfundsmæssig og erhvervsmæssig udbygning",1.50617283950617
1972," jeg er forvisset om at de fortsat uden at slippe deres kulturarv vil have livsmod og kræfter til at løse denne opgave"," jeg er forvisset om, at de fortsat uden at slippe deres kulturarv vil have livsmod og kræfter til at løse denne opgave",1.16494845360825
1972," til alle i forsvaret og politiet retter jeg en tak for veludført gerning i det forløbne år til beskyttelse af vor frihed og fred"," til alle i forsvaret og politiet retter jeg en tak for veludført gerning i det forløbne år til beskyttelse af vor frihed og fred",1.57142857142857
1972," min hilsen går også til vore landsmænd syd for grænsen og til alle danske der rundt omkring i verden på søen såvel som til lands har deres daglige gerning"," min hilsen går også til vore landsmænd syd for grænsen og til alle danske, der rundt omkring i verden på søen såvel som til lands har deres daglige gerning",1
1972," nu er det gamle år næsten forbi et nyt står for døren"," nu er det gamle år næsten forbi, et nyt står for døren",0
1972," mine tanker går til alle der er syge og til alle der mistet en af de nære"," mine tanker går til alle, der er syge, og til alle, der mistet en af de nære",-1.25
1972," måtte 1973 blive et godt år for vort land"," måtte 1973 blive et godt år for vort land",2.625
1972," måtte lykke og velsignelse bo i alle danske hjem"," måtte lykke og velsignelse bo i alle danske hjem",3
1972," gud bevare danmark"," gud bevare danmark",1.56637168141593
1973,"vi alle fornemmer dette årsskifte som noget særligt","vi alle fornemmer dette årsskifte som noget særligt",0
1973," vi står måske ved et afgørende vendepunkt"," vi står måske ved et afgørende vendepunkt",0.6
1973," året 1973 vil komme til at stå som et betydningsfuldt år i historien ikke mindst derved at danmark fra den 1"," året 1973 vil komme til at stå som et betydningsfuldt år i historien, ikke mindst derved, at danmark fra den 1",0
1973," januar indtrådte i de europæiske fællesskaber"," januar indtrådte i de europæiske fællesskaber",0
1973," efter kun et halvt års medlemskab overtog danmark formandsposten og det nyligt afholdte regeringschefmøde i københavn bragte os fællesskabet på nærmeste hold og understregede dets betydning"," efter kun et halvt års medlemskab overtog danmark formandsposten, og det nyligt afholdte regeringschefmøde i københavn bragte os fællesskabet på nærmeste hold og understregede dets betydning",1
1973," jeg vil her benytte lejligheden til at takke alle danske som hver på deres plads har hjulpet med til at varetage danmarks forpligtelser i det internationale samarbejde i dette sidste halve år ofte under vanskelige forhold og med stor personlig indsats"," jeg vil her benytte lejligheden til at takke alle danske, som hver på deres plads har hjulpet med til at varetage danmarks forpligtelser i det internationale samarbejde i dette sidste halve år ofte under vanskelige forhold og med stor personlig indsats",1.97969543147208
1973," 1973 blev ikke i sin helhed noget fredens år for verden"," 1973 blev ikke i sin helhed noget fredens år for verden",0
1973," skønt det vakte glæde og lettelse da det i januar måned kom til en våbenhvile i vietnam blev verden i oktober vidne til at en ny voldsom krig brød ud i mellemøsten"," skønt det vakte glæde og lettelse, da det i januar måned kom til en våbenhvile i vietnam, blev verden i oktober vidne til, at en ny voldsom krig brød ud i mellemøsten",0.820568927789934
1973," måtte den våbenstilstand som nu er etableret føre til stabile forhold for de implicerede parter"," måtte den våbenstilstand, som nu er etableret føre til stabile forhold for de implicerede parter",0
1973," en reduktion af energiforsyningen har i årets sidste måneder medført vanskeligheder som i særlig grad har ramt de stærkt industrialiserede lande"," en reduktion af energiforsyningen har i årets sidste måneder medført vanskeligheder, som i særlig grad har ramt de stærkt industrialiserede lande",1
1973," for første gang i næsten en menneskealder har en sådan international krise virkelig kunnet mærkes også i vort land ja ud i hvert enkelte hjem"," for første gang i næsten en menneskealder har en sådan international krise virkelig kunnet mærkes også i vort land, ja ud i hvert enkelte hjem",0.138047138047138
1973," knappe tider har vi kendt mange gange også i vor nyere historie"," knappe tider har vi kendt mange gange, også i vor nyere historie",1
