"years","sentences","sentences_full","polarity"
2010,"on newyear s eve it is customary to look back at the year that has passed","on new year s eve it is customary to look back at the year that has passed",0
2010," personally i cannot do that without first and foremost saying thank you when i think of all the kindness and attention i have received over the year especially in connection with my 70th birthday in april"," personally, i cannot do that without first and foremost saying thank you when i think of all the kindness and attention i have received over the year, especially in connection with my 70th birthday in april",2
2010," that day has added light and joy to the entire year which has touched and moved me much more than i can say"," that day has added light and joy to the entire year, which has touched and moved me much more than i can say",3
2010," it was not just here in copenhagen on the day itself but i also experienced it throughout the country wherever i came alone or together with my family and it also characterised our visit to the faroe islands"," it was not just here in copenhagen on the day itself, but i also experienced it throughout the country wherever i came, alone or together with my family, and it also characterised our visit to the faroe islands",-2
2010," even though we all may find much to take pleasure in over the past year it has nevertheless been a year characterised by the economic crisis that has affected the world community and consequently also danish society"," even though we all may find much to take pleasure in over the past year, it has nevertheless been a year characterised by the economic crisis that has affected the world community and, consequently, also danish society",0
2010," there is reason for concern because many have lost their jobs shops earn less money when the customers have less money to spend and the global scale of the crisis means that companies sales decrease both at home and abroad"," there is reason for concern because many have lost their jobs shops earn less money when the customers have less money to spend and the global scale of the crisis means that companies sales decrease both at home and abroad",-3
2010," nevertheless denmark is one of the nations that have been less severely affected by the crisis"," nevertheless, denmark is one of the nations that have been less severely affected by the crisis",-3
2010," during the crisis we have benefited from the fact that in denmark we have experienced prosperity and we have had savings to draw on"," during the crisis, we have benefited from the fact that in denmark we have experienced prosperity and we have had savings to draw on",-3
2010," but what we can draw on is not only our solid material wealth"," but what we can draw on is not only our solid material wealth",2.5
2010," we are also wealthy in other ways"," we are also wealthy in other ways",2
2010," we have an established community which we take pride in"," we have an established community which we take pride in",0
2010," it goes very far back in our history back to the free constitution"," it goes very far back in our history, back to the free constitution",1
2010," indeed it goes even further back in history because the constitution of 1849 may be perceived as confirmation of a community that already existed"," indeed, it goes even further back in history because the constitution of 1849 may be perceived as confirmation of a community that already existed",0
2010," the community is a strong quality which we should appreciate and which we need when times are not so good"," the community is a strong quality which we should appreciate and which we need when times are not so good",2.33333333333333
2010," together we must draw on our ingenuity our diligence and creative powers"," together we must draw on our ingenuity, our diligence and creative powers",2
2010," these are characteristics we can draw on as we are now endeavouring to wrench ourselves out of the grips of the crisis"," these are characteristics we can draw on as we are now endeavouring to wrench ourselves out of the grips of the crisis",-3
2010," when we see how others become increasingly skilful we must not let ourselves be daunted by it but let it be a spur to us"," when we see how others become increasingly skilful, we must not let ourselves be daunted by it, but let it be a spur to us",0
2010," we must not content ourselves with what we once excelled at but continue to use the combination of individualism and unity that has brought us this far"," we must not content ourselves with what we once excelled at, but continue to use the combination of individualism and unity that has brought us this far",0
2010," denmark has known many crises and difficult times throughout history but together we have survived them and everybody has contributed"," denmark has known many crises and difficult times throughout history, but together we have survived them and everybody has contributed",-1
2010," but are we seeing indications these years that we have become more selfish that we have become inclined to first and foremost make demands and make sure that we all get what we ourselves think we are entitled to are we becoming distrustful of each other and beginning to ascribe less than pure motives to each other if that is the case we are not only in an economic crisis"," but are we seeing indications these years that we have become more selfish, that we have become inclined to first and foremost make demands, and make sure that we all get what we ourselves think we are entitled to are we becoming distrustful of each other, and beginning to ascribe less than pure motives to each other if that is the case, we are not only in an economic crisis",-2.5
2010," then it is our attitudes that are slipping"," then it is our attitudes that are slipping",0
2010," it is a crisis that is insidious because it creeps upon us and poisons our relationships with each other"," it is a crisis that is insidious because it creeps upon us and poisons our relationships with each other",-2.5
2010," it means that we are jeopardising something that may be irretrievable"," it means that we are jeopardising something that may be irretrievable",0
2010," a crisis that is measurable and quantifiable so to speak a crisis that lends itself to figures and graphs is not nearly as serious as a crisis of values and attitudes that are faltering"," a crisis that is measurable and quantifiable, so to speak, a crisis that lends itself to figures and graphs is not nearly as serious as a crisis of values and attitudes that are faltering",-3
