"uuid","title","date_published_at","date_updated_at","section","authors","link","location","content"
"7cb7d53d-4cb2-4e62-a581-59afd8a2c160","Her og nu: Gymnasieelever fra Odense i finale",2022-04-11 10:03:00,2022-04-11 10:03:00,"Samfund","Af redaktionen","https://www.tv2fyn.dk/coronavirus-paa-fyn/her-og-nu-gymnasieelever-fra-odense-i-finale","Fyn",""
"3077bb9a-3b69-4264-8c0e-f6910693dd28","Storebæltsbroen går i gult til Tour de France - først skal 385 lamper udskiftes",2022-04-11 10:02:11,2022-04-11 10:02:11,"Trafik","Sune Jørgensen","https://www.tv2fyn.dk/artikel/storebaeltsbroen-gaar-i-gult-til-tour-de-france-foerst-skal-385-lamper-udskiftes","Fyn","forberedelserne til at tourfeltet rammer danmark i juli er i fuld gang mange steder det gælder også på danmarks største bro her er man i øjeblikket i gang med at udskifte hele led lamper på de to pyloner og ankerblokke de nuværende lamper er år gamle og trænger til en udskiftning det er almindelige lamper der er på broen nu og de skal udskiftes til led som også er mere energisparende siger lene gebauer thomsen kommunikationschef hos sund bælt ud over at kræve mindre energi kan de nye lamper noget helt særligt som det altså ikke har været muligt før vi har tilkøbt muligheden for at få farve på så vi har tilkøbt standardfarverne så vi for eksempel kan lyse broen op i rødt og hvidt næste år når broen fylder år siger lene gebauer thomsen gul er lig med tour de france det er dog ikke tilfældigt at det netop er nu de led lamper skal udskiftes et af verdens største sportsevents kommer til danmark når tour de france blandt andet skal køres over storebæltsbroen den juli derfor mente sund bælt også at det var på sin plads at få lamperne klar inden det store cykelløb når der nu var mulighed for at sætte lamperne op inden tour de france så har vi selvfølgelig skævet til det i planlægningen lamperne kommer til at være klar inden løbet og vil lyse broen op i gult i aftnerne og nætterne op til løbet siger lene gebauer thomsen arbejdet med at udskifte lamperne er allerede i fuld gang det foregår på udvalgte dage og fortrinsvis om natten så man undgår at forstyrre trafikken alt for meget vi dobbeltretter trafikken om natten så vi kan udrette noget mere og vi ikke behøver forstyrre trafikken i dagligdagen det har vi gjort en enkelt gang og kommer til at gøre det et par gange mere siger lene gebauer thomsen de farvede lamper til blive sat op på de to pyloner men ikke på ankerblokkene teknologien er svarende til det man også har på øresundsbroen"
"45924953-2537-45ea-bc5e-dac7e3c479e2","Tag på påske-skattejagt i det sydfynske",2022-04-11 08:51:49,2022-04-11 08:51:49,"Kultur","Frederikke Lysbjerg Sørensen","https://www.tv2fyn.dk/svendborg/tag-paa-paaske-skattejagt-i-det-sydfynske","Svendborg","fuglene synger sommerfuglene er vågnet og skovbunden blomstrer påskeferien er i gang og det betyder at der er tid til sjove aktiviteter for hele familien i naturområdet ørkild voldsted i svendborg er en skattejagt på otte poster der kan besøges i påskedagene ganske gratis sat i gang skattejagten i det fri er arrangeret af naturama og konceptet opstod under coronanedlukningen der tænkte vi at vi stadig skal inspirere til at bevare naturen til at elske naturen og til at få folk ud i naturen siger poul stentebjerg der er naturformidler hos naturama skattejagt i svendborgs naturskattejagtens poster består blandt andet af spørgsmål om insekter pattedyr og naturen for poul stentebjerg er formålet med skattejagten klar for det første for at få en dejlig naturoplevelse høre spætten og fugle der synger og for at få svar på nogle af de her spørgsmål og for at blive klogere på naturen og dyrene siger han og der er næsten garanti for naturoplevelser for store og små der er en masse sjove dyr hernede der er både sådan noget som stor flagspætte som man ser næsten hver gang der er troldænder almindelige ænder og en masse småfugle og insekter hernede siger poul stentebjerg skattejagten kan opleves i eget tempo og turen er cirka en kilometer lang for at deltage i skattejagten kan man enten tage forbi naturama for at få et gratis skattekort eller hente skattekortet fra naturamas hjemmeside det er muligt at deltage i skattejagten frem til den april og der er ti præmier på højkant fra naturamas egen butik"
"96f37867-5ffb-46b1-830e-5074b0f84e64","Kommuner kan mangle medarbejdere - også på Fyn",2022-04-11 05:41:19,2022-04-11 05:41:19,"Samfund","Joachim Næshave","https://www.tv2fyn.dk/fyn/kommuner-kan-mangle-medarbejdere-ogsaa-paa-fyn","Fyn","i assens kommune er der siden nedlagt cirka fuldtidsstillinger for at håndtere de ukrainske flygtninge har kommunen omplaceret to medarbejdere til integrationsområdet men vil formentlig få brug for flere udefra og det kan blive et problem forudser brian korsgaard der er afdelingsleder for integration job og udvikling i kommunen vi er kommuner der har brug for det samme på samme tid det vil altid støvsuge markedet så vi kan risikere at det bliver sværere at finde de rigtige kompetencer det er ikke en udfordring endnu men det er en bekymring siger han til politiken nedlagte stillingerkommunerne modtager i disse uger tusindvis af ukrainske flygtninge som skal have hjælp til at finde et sted at bo lære det danske sprog og finde et job men antallet af medarbejdere der står for netop den opgave er raslet ned ifølge en rundspørge som politiken har gennemført blandt alle landets kommuner svarer af ud af at de har skåret i antallet af medarbejdere der arbejder med integration siden flygtningestrømmen fra syrien aftog på landsplan er det stillinger assens kommune har indtil videre fået anvist ukrainere men holder myndighedernes forventning om flygtninge stik står kommunen til at skulle modtage lidt over det her er en opgave af voldsom karakter siger brian korsgaard til avisen og tilføjer vi er på opgaven og vi er nok ikke helt med endnu i odense kommune fortæller rådmand i beskæftigelses og socialforvaltningen christoffer lilleholt v at det er helt naturligt at man som kommune omfordeler kræfterne når der ikke er behov for dem i bestemte afdelinger vi kan godt komme til at mangle ansatte men vi vil også gerne have folk med de rette kompetencer eksempelvis nogen der kan ukrainsk så vi ikke behøver at bruge tolke hver gang der er behov for det han tilføjer at manglen endnu ikke er aktuel nye medarbejdere hænger ikke på træerneat kommunerne har nedskaleret integrationsindsatsen er velkendt for frederik thuesen der er seniorforsker i det nationale forskningscenter for velfærd vive det er der ikke nogen tvivl om der er et videnstab siger han til politiken men han peger samtidig på at mange kommuner ikke har haft behovet for den type medarbejdere siden flygtningekrisen i den offentlige sektor har jo ikke råd til at have folk gående uden noget at lave peter rahbæk juel s der udover at være borgmester i odense er formand for arbejdsmarkeds og borgerserviceudvalget i kommunernes landsforening fastholder dog at kommunerne har været gode til at videreføre den opbyggede viden men det kan være svært at finde nye medarbejdere erkender han en af de største udfordringer vi står med er at rekruttere medarbejdere til velfærdsområderne og det gælder også integrationsmedarbejdere siger han i en skriftlig kommentar til politiken"
"d173267f-e36f-4890-a499-ebfe1082f925","Økokøer kom begejstrede på græs",2022-04-11 04:19:55,2022-04-11 04:19:55,"Natur","Peter Bergman","https://www.tv2fyn.dk/faaborg-midtfyn/oekokoeer-kom-begejstrede-paa-graes","Faaborg-Midtfyn","en tradition vendte palmesøndag tilbage i fin form nemlig den hvor medlemmerne af økologisk landsforening lukker deres køer ud på græs ud på græs er køerne også blevet sluppet de seneste par år men coronapandemien har forhindret at det var med publikum på således var det ikke kun køerne der i år var begejstrede over at komme på græs publikum var også trukket ud under åben himmel og faktisk havde publikummer sikret sig billetter til de tre fynske gårde der traditionen tro lukkede deres økologiske køer på græs tv fyn var tilstede da køerne blev sluppet løs på toftegaard ved eskildstrup nordøst for ringe og som man kan se på hosstående optagelser var køerne ventet med længsel af publikum mens køerne var endnu mere glade for det grønne græs og den blå himmel"
"459d5b19-bab6-4c9e-bdf9-48ff0138e9bd","Mandag bliver en lunere dag",2022-04-11 03:24:06,2022-04-11 03:24:06,"Vejr","Joachim Næshave","https://www.tv2fyn.dk/fyn/mandag-bliver-en-lunere-dag","Fyn","mandag byder på et noget mere forårsagtigt udtryk når det kommer til vejret efter weekendens delvise rusk og regn over det meste af fyn lægger vinder sig i dag og regnen tager en velfortjent pause det betyder ifølge tv vejret at det vil være en noget varmere oplevelse af begive sig udenfor i dag selvom termometeret befinder sig i samme niveau som i går med op til graders varme ingen byger det holder tørt og der vil være perioder med sol siger tv vejrets ellen nybo kig efter en halogennem det meste af dagen vil der være skyer på himlen i den ene eller anden form der vil være perioder med sol i perioder vil der også være en del skyer på himlen siger ellen nybo og så er det måske værd at kigge op på himlen hvis du har et let skydække over dig siger hun der vil være slørskyer som altså gør at himlen bliver tegnet mælkehvid og der kan man måske være heldig at spotte en halo der er den her ring rundt om solen"
"90b6672b-e02f-4b85-9ef0-dd15ed6f2e89","Rock Nalle får museum: - Der er en ting eller to, jeg kunne have undværet",2022-04-10 17:23:09,2022-04-10 17:23:09,"Kultur","Peter Bergman","https://www.tv2fyn.dk/tv2-oest/rock-nalle-faar-museum-der-er-en-ting-eller-to-jeg-kunne-have-undvaeret","Odense","et museum dedikeret til et ganske særligt stykke dansk musikhistorie åbnede søndag i hørve nemlig et museum om den fynske rock n roll musiker rock nalle manden der i blev landskendt med sangen om go e gamle fru olsen i øvrigt en dansk version af little richards good golly miss molly fra men hvis historie er meget mere end et enkelt hit det fortæller initiativtageren til museet stefan broberg hansen der er mangeårig rock nalle fan og samler jeg synes han fortjener det nu har han trods alt været med fra starten af det er jo vores little richard herhjemme i danmark siger han med en henvisning til at rock nalle var med til at bringe rock n roll musikken til danmark i erne museet er indrettet i stefan broberg hansens private hjem i en gammel slagterejendom på søndergade i hørve på odsherred selve udstillingen er indrettet i den gamle slagterforretning det i sig selv har også en finurlig kobling til den i dag årige musiker og sanger der i sin tid stod i lære som slagtersvend det var inden de store hits i erne hvor rock nalle som lyder det borgerlige navn roland lyhr sørensen for alvor blev landskendt rock nalles flyttekassermuseets tilbliven er hjulpet godt på vej af rock nalle selv idet han har doneret intet mindre end flyttekasser med effekter som stefan broberg hansen drog til odense for at hente her i blandt guld og sølvplader original indspilninger og diverse prisstatuetter samt indspilninger der aldrig er blevet udgivet samlingen tæller selvfølgelig også et par af rock nalles guitarer som er blevet sat i stand jeg har fået den lappet sammen og poleret op med nye strenge på men strengene de originale strenge red der er gemt de ligger i kassen der fortæller stefan broberg hansen sang i bytte for skorock nalle har været forbi og se museet inden åbningsdagen det er lidt underligt men på den anden side er jeg glad ved det bliver gjort så folk kan følge med i sådan en historie altså rock n roll for ellers er det jo andre ting der kommer på museum siger han til tv øst montren med priserne og statuetterne gemmer også på et par af musikerens gamle sko eller rettere sagt kim larsens sko fortæller rock nalle for under en optræden i holstebro i erne kom gasolin forbi og kim larsen henvendte sig han kim larsen red kom derned og jeg havde de hvide sko på og så siger han de er smarte de sko giv mig dem genfortæller rock nalle og tilføjer jeg sagde først nej så skulle jeg jo køre hjem i strømpesokker men det endte med at han fik dem for vi lavede en handel en melodi per sko kim larsen fik skoene og et halvt år efter kom der et kassettebånd retur med to sange på det blev til en guld og en sølvplade for amanda siger rock nalle og tilføjer med et skævt lille smil det var en god bytter jeg har også tit ærgret mig over jeg ikke havde par så jeg kunne have fået til en hel lp når han står der omgivet af minderne er det svært ikke at være stolt fortæller han jeg er stolt at det hele der er selvfølgelig en ting eller to jeg godt kunne have undværet men ellers er jeg stolt af det hele"
"c1e7c9ef-be01-409a-aa0c-42d4379800bf","Klager over kommune til ombudsmanden: - Jeg har hverken kræfter eller overskud til at være der for mit syge barn",2022-04-10 16:26:36,2022-04-10 16:26:36,"Samfund","Peter Bergman","https://www.tv2fyn.dk/nordfyn/klager-over-kommune-til-ombudsmanden-jeg-har-hverken-kraefter-eller-overskud-til-at-vaere-der-for-mit-syge-barn","Nordfyn","marianne jensens årige datter julie har diagnosen social angst og er stort set ikke i skole skolevægring kaldes det og netop på det område har politikerne i børne og ungeudvalget i nordfyns kommune valgt at finde ti millioner kroner i besparelser besparelserne skal komme i hus ved at kommunen selv løser flere forebyggende opgaver og ved at skolerne primært selv skal stå for udgifterne til de indsatser der handler om børns skolevægring det kan betyde at der vil blive sparet på tabt arbejdsfortjeneste og det vil i så fald ramme marianne jensen og dermed hendes datters trivsel hvis jeg mister min tabte arbejdsfortjeneste jamen det kan jeg slet ikke gennemskue jeg har hverken kræfter eller overskud til at passe et arbejde samtidig med at jeg skal være der for mit syge barn siger marianne jensen den frivillige forening støttegruppe nordfyn har klaget over nordfyns kommune til ombudsmanden de mener at sagsbehandlingen er for dårlig og har fået nok efter de nye besparelser for ti millioner kroner vi har bedt ombudsmanden om at kigge kommunen efter vi vil have stærkere midler i brug siger britt skousen andersen der er bestyrelsesmedlem i støttegruppe nordfyn passer datteren på fuld tidfamilien har flyttet julie til en privatskole i ringe skolen er specialiseret i børn som julie og der er kun elever i julies klasse er der ni elever men bare det at de i nogle timer skal være blandet med de andre klasser gør at hun ikke kan deltage og så må jeg holde hende hjemme fortæller marianne jensen som kører julie fra hjemmet på nordfyn til ringe og bliver ved skolen så julie kan være tryg i maj sidste år søgte marianne om tabt arbejdsfortjeneste for at stoppe på sit arbejde så hun kunne passe sin datter på fuld tid nu hun nervøs for hvad fremtiden bringer jeg var så lang tid om at få tabt arbejdsfortjeneste og det var simpelthen en sten der faldt fra mit hjerte da det endelig gik igennem fordi jeg igen kunne begynde at trække vejret men tabt arbejdsfortjeneste står altså til at blive sparet væk i fremtiden og det vil ramme marianne jensen og julie marianne jensen er nemlig i den gruppe af forældre til børn med skolevægring altså børn der sjældent eller aldrig kommer i skole så hvis jeg mister min tabt arbejdsfortjeneste det kan jeg slet ikke gennemskue fordi jeg har hverken kræfter eller overskud til at være der for mit syge barn siger marianne jensen marianne jensen forklarer at julie ikke kan være sammen med folk hun ikke kender hun kan ikke være sammen med den tætte familie og det sværeste er faktisk jævnaldrende altså unge på hendes egen alder forklarer marianne jensen og tilføjer at julie kan få panikanfald hvis der sker noget eller hvis hun føler der er for mange mennesker omkring hende det er jo klart at det spiller meget ind i skole delen når man lider af social angst med klagen til ombudsmanden håber støttegruppe nordfyn at man vil kigge kommunen efter i sømmene"
"4ee46efb-a700-4520-ab90-8d783b31f6fd","OB-cheftræner om sen udligning: Betyder utrolig meget",2022-04-10 15:44:58,2022-04-10 15:44:58,"Sport","Ritzau","https://www.tv2fyn.dk/odense/ob-cheftraener-om-sen-udligning-betyder-utrolig-meget","Odense","det lignede længe at ob skulle tabe ude mod sønderjyske i superligaens nedrykningsspil men ob back jørgen skjelvik fik kort før tid sparket bolden ind til den sene pointdeling betyder at ob fortsat har en pæn distance til nedrykningskampen hvilket gjorde det ene point ekstra vigtigt ifølge ob s cheftræner andreas alm det betød utrolig meget at vi kunne komme tilbage i kampen og få et point med hjem hvis vi ikke kunne vinde så var det vigtigste at vi ikke tabte da vi har mange indbyrdes kampe der venter rundt om hjørnet siger alm svenskeren mener at uafgjort var et retvisende resultat i forhold til kampens begivenheder og han erklærer sig desuden tilfreds med sit holds kynisme ob målscorer max fenger efterlyser modsat sin cheftræner større skarphed vi bør være mere kyniske men det formåede vi ikke det er noget som vi skal arbejde med på træningsbanen for det kan være med til at tippe sejren vores vej siger max fenger angriberen mener dog også at det var vigtigt at holdet fik vendt nederlaget til et enkelt point at få point med herfra var meget vigtigt det var stadig en tung følelse at gå fra banen med et enkelt point men det ene point betød trods alt at vi ikke åbnede alt for meget op for tabellen siger max fenger i sønderjyske lejren var det derimod en skuffet henrik hansen der ikke fik lov at se sit mandskab indløse en god præstation til sejr præstationen var god men slutresultatet er ikke nok desværre sejrene kommer hvis vi bliver ved med at kæmpe de præstationer som vi leverer har ofte været til mere på et tidspunkt vil marginalerne komme til at gå vores vej siger cheftræneren ob har point på nedrykningsspillets tredjeplads det er otte mere end vejle der ligger lige under stregen og har sin kamp mod viborg mandag i baghånden sønderjyske er nummer seks og sidst med sine point næste opgave for ob er hjemme mod vejle mens sønderjyske i næste spillerunde gæster farum og fc nordsjælland"
"ed016c01-1926-4b3e-b3e8-67a2d3c8e8a3","OB fik uafgjort med hjem fra Haderslev",2022-04-10 14:02:03,2022-04-10 14:02:03,"Sport","Peter Bergman","https://www.tv2fyn.dk/odense/ob-fik-uafgjort-med-hjem-fra-haderslev","Odense","to gange bragte sønderjyske sig foran mens ob to gange fik udlignet hjemmeholdets føring i en jævnbyrdig søndagskamp i haderslev først var det max fenger der udlignede kort før pausen inden jørgen skjelvik med et hårdt skud hamrede målet ind ved den fjerneste stolpe med ti minutter igen ob pressede på for et sejrsmål til sidst mens sønderjyske havde et par farlige omstillinger med det uafgjorte resultat er sønderjyske fortsat sidst i kvalifikationsspillet mens ob stadig er nummer tre opgøret bød sjældent på flot spil fra de to mandskaber men derimod masser af tacklinger frispark og intense dueller begge hold tilspillede sig trods det uskønne spil gode chancer og mål derfor var det heller ikke ufortjent at det endte med og pointdeling efter jørgen skjelviks sene ob scoring resultatet betyder at ob er på point i superligaens nedrykningsspil mens sønderjyske fortsat ligger sidst i tabellen med point to gange udligningefter minutter kom sønderjyske foran med det var sønderjyske angriber emil berggreen der headede bolden i mål efter en suveræn dribletur fra holdkammerat rilwan hassan kort før pausefløjt fik ob s max fenger udlignet til da angriberen dukkede op foran mål og prikkede bolden ind bag lawrence thomas i sønderjyske målet emil berggreen var dog ikke færdig med at score mål efter pausen var angriberen igen på pletten da han sparkede til bolden efter et stort klumpspil i ob feltet afslutningen gik i mål og bragte sønderjyderne foran ob s jørgen skjelvik fik dog sparket et enkelt point med hjem til odense da nordmanden udlignede med minutter igen til slutresultatet"
